TKCMSZ00 商品属性
TKCMTZ00 取引属性
TKCMKJ00 勘定科目
TKCMKM00 勘定科目対応
TKCMSK00 仕訳基準パターン
TKCMHK00 仕訳基準費用管理
TKCMSW00 仕訳パターン
TKCMSN00 仕訳No.
TKCMBR00 分類コード
TKCMDS00 データソース
TKJCTK00 通貨変換
TKJCKB00 規模別分類
TKJCFM00 ＩＤＳファイル情報マスタ
TKJCMA00 画面表示項目制御マスタ
TKJCWK13 ワーク為替レート
TKJCWK11 ワーク時価
TKJCWK08 ワーク権利配当情報
TKJCWK15 ワーク銘柄分類
TKJCWK30 ワーク銘柄コードリファレンス
TKJCWK31 ワークＩＤＳ銘柄基本属性履歴（債券型)
TKJCWK32 ワークＩＤＳ銘柄基本属性履歴（株式型）
TKJCWK33 ワークＩＤＳ銘柄基本属性履歴（先物・オプション型）
TKJCWK34 ワークＩＤＳ連動係数
TKMXMA00 集中コントロールマスタ
TOC0SE15 システム属性
TOC0SE16 ユーザー会社属性
TOC0SE17 ユーザー会社受任関係
TOC0SE20 メニューマスタ
TOC0SE21 ユーザー会社利用メニューマスタ
TOC0SE22 ユーザー会社利用ポートフォリオ
TOC0SE23 ユーザー会社利用プリンタ
TOC0SE30 ユーザーID属性
TOC0SE31 業務グループ
TOC0SE32 メニュー所属業務グループ
TOC0SE33 帳票所属業務グループ
TOC0SE34 業務タスク所属業務グループ
TOC0SE35 ユーザーＩＤ所属業務グループ
TOC0SE36 ポートフォリオ所属業務グループ
TOC0DA21 業務タスクマスタ
TOC0DA22 ユーザー会社利用業務タスクマスタ
TOC0DA23 アップロードマスタ
TOC0DA24 ユーザー会社利用アップロードマスタ
TOC0DA25 帳票マスタ
TOC0DA26 ユーザー会社利用帳票マスタ
TOC0EE11 ライセンス管理
TKSYAA10 コードインスタンス
TKSYAA40 業務ログ
TKSYAA42 削除済業務ログ
TKSYAA51 稼動統計（月別・機能別）
TKSYAA52 稼動統計（月別・機能別・時間帯別）
TKSYAA53 稼動時間統計（月別・機能別）
TKDYAA10 システム日付管理
TKDYAA12 オンライン開始ステータス管理
TKDYAA14 電文項目マスタ
TKDYAA15 集信ID管理
TKDYAA20 実行順序制御マスタ
TKDYAA21 タスクスケジュール
TKDYAA22 その他条件所属タスクスケジュール
TKDYAA23 自動運用カレンダー
TKDYAA24 タスクスケジュール中間
TKDYAA25 その他条件所属タスクスケジュール中間
TKDYAA26 電文保持所属タスクスケジュール中間
TKDYAA27 電文保持所属タスクスケジュール
TKDYAA28 送信ID管理
TKDYAA30 起動ID管理
TKDYAA31 実行状況管理
TKDYAA32 電文保持
TKDYAA34 削除済実行状況管理
TKDYAA35 実行状況管理明細
TKDYAA36 実行状況エラーメッセージ
TKDYAA37 その他条件所属実行状況管理
TKDYAA38 削除済実行状況管理明細
TKDYAA39 帳票圧縮管理明細
TKDYAA42 進捗タスクマスタ
TKDYAA43 システム処理所属進捗タスク
TKDYAA44 進捗管理相関関係マスタ
TKDYAA50 汎用パラメータ属性
TKDYAA52 稼働日カレンダー
TKEYAA21 ユーザー会社利用AQ多重度
TKEYAA22 ユーザー会社利用商品属性
TKEYAA23 ユーザー会社利用取引属性
TKEYAA24 ユーザー会社利用データソース
TKDYAA29 タスクスケジュールID
TKDYAA53 最適化管理テーブル
TKDYAA54 業務データ削除条件テーブル
TKDYAA55 業務データ削除稼働管理
TKEYWK01 銘柄リスト中間
TKEYWK02 銘柄別時価採用基準中間
TKEYWK03 データソース集計ファイル２中間
WKCMBR00 ワーク分類コード
TKCMWK01 仕訳パターン仕訳№紐付け
TKDYAA62 進捗状況更新指示WKテーブル
TKDYSA00 アナライズフラグDB
TKSYAA41 監査ログ
TKSYAA43 削除済監査ログ
TKDYAA46 選択システム所属進捗タスク
TKDYAA63 エラー検知ステータスマスタ
TKDYAA64 エラー検知対象タスクマスタ
TKDYAA56 最適化管理明細テーブル
